,orthography,phonology,Class,gender,gender_numeric
138,aberglaeubig,ab@rglXbIx,A,,
139,aberglaeubisch,ab@rglXbIS,A,,
140,aberhundert,ab@rhUnd@rt,NUM,,
141,aberkennen,&pErkEn@n,V,,
142,Aberkennung,&pErkEnUN,N,v.,2.0
143,abermalig,ab@rmalIx,A,,
144,abermals,ab@rmals,ADV,,
145,Aberration,&pEr&=ion,N,v.,2.0
146,abertausend,ab@rtBz@nt,NUM,,
147,Aberwitz,ab@rvI=,N,m.,1.0
148,aberwitzig,ab@rvI=Ix,A,,
149,abessen,&pEs@n,V,,
150,abessinisch,&bEsinIS,A,,
151,abfackeln,&pf&k@ln,V,,
152,abfaedeln,&pf)d@ln,V,,
153,abfahren,&pfar@n,V,,
154,Abfahrt,&pfart,N,v.,2.0
155,Abfahrtszeit,&pfar==Wt,N,v.,2.0
156,abfallen,&pf&l@n,V,,
157,Abfall,&pf&l,N,m.,1.0
158,Abfalleimer,&pf&lWm@r,N,m.,1.0
159,abfaellig,&pfElIx,A,,
160,Abfallprodukt,&pf&lprodUkt,N,o.,3.0
161,abfaelschen,&pfElS@n,V,,
162,abfangen,&pf&N@n,V,,
163,abfaerben,&pfErb@n,V,,
164,abfasen,&pfaz@n,V,,
165,abfassen,&pf&s@n,V,,
166,Abfassung,&pf&sUN,N,v.,2.0
167,abfaulen,&pfBl@n,V,,
168,abfedern,&pfed@rn,V,,
169,abfeilen,&pfWl@n,V,,
170,abfertigen,&pfErtIg@n,V,,
171,Abfertigung,&pfErtIgUN,N,v.,2.0
172,abfeuern,&pfX@rn,V,,
173,abfieren,&pfir@n,V,,
174,abfinden,&pfInd@n,V,,
175,Abfindung,&pfIndUN,N,v.,2.0
176,Abfindungssumme,&pfIndUNszUm@,N,v.,2.0
177,abflachen,&pfl&x@n,V,,
178,abflauen,&pflB@n,V,,
179,abfliegen,&pflig@n,V,,
180,abfliessen,&pflis@n,V,,
181,Abflug,&pfluk,N,m.,1.0
182,Abfluss,&pflUs,N,m.,1.0
183,Abflusshahn,&pflUshan,N,m.,1.0
184,Abfolge,&pfOlg@,N,v.,2.0
185,abfotografieren,&pfotogr&fir@n,V,,
186,abfragen,&pfrag@n,V,,
187,abfressen,&pfrEs@n,V,,
188,abfretten,&pfrEt@n,V,,
189,abfrieren,&pfrir@n,V,,
190,abfrottieren,&pfrOtir@n,V,,
191,abfuehlen,&pfyl@n,V,,
192,abfuehren,&pfyr@n,V,,
193,Abfuhr,&pfur,N,v.,2.0
194,Abfuehrmittel,&pfyrmIt@l,N,o.,3.0
195,Abfuehrung,&pfyrUN,N,v.,2.0
196,abfuellen,&pfYl@n,V,,
197,abfuettern,&pfYt@rn,V,,
198,Abfuetterung,&pfYt@rUN,N,v.,2.0
199,Abgabe,&pgab@,N,v.,2.0
200,abgabenfrei,&pgab@nfrW,A,,
201,abgabenpflichtig,&pgab@n+lIxtIx,A,,
202,Abgabesoll,&pgab@zOl,N,o.,3.0
203,Abgang,&pg&N,N,m.,1.0
204,Abgaenger,&pgEN@r,N,m.,1.0
205,abgaengig,&pgENIx,A,,
206,Abgangszeugnis,&pg&Ns=XknIs,N,o.,3.0
207,Abgas,&pgas,N,o.,3.0
208,abgasfrei,&pgasfrW,A,,
209,abgeben,&pgeb@n,V,,
210,abgeblasst,&pg@bl&st,A,,
211,abgebrannt,&pg@br&nt,A,,
212,abgebrueht,&pg@bryt,A,,
213,abgedroschen,&pg@drOS@n,A,,
214,abgefeimt,&pg@fWmt,A,,
215,Abgefeimtheit,&pg@fWmthWt,N,v.,2.0
216,abgegriffen,&pg@grIf@n,A,,
217,abgehen,&pge@n,V,,
218,abgehackt,&pg@h&kt,A,,
219,abgekaempft,&pg@kEm+t,A,,
220,abgekartet,&pg@k&rt@t,A,,
221,abgeklaert,&pg@klErt,A,,
222,Abgeklaertheit,&pg@klErthWt,N,v.,2.0
223,Abgeld,&pgElt,N,o.,3.0
224,abgelebt,&pg@lept,A,,
