,orthography,phonology,Class,gender,gender_numeric
24125,Maurerarbeit,mBr@r&rbWt,N,v.,2.0
24126,Maurermeister,mBr@rmWst@r,N,m.,1.0
24127,maurisch,mBrIS,A,,
24128,Maus,mBs,N,v.,2.0
24129,Maeuschen,mXsx@n,N,o.,3.0
24130,maeuschenstill,mXsx@nStIl,A,,
24131,Maeusebussard,mXz@bUs&rt,N,m.,1.0
24132,Mausefalle,mBz@f&l@,N,v.,2.0
24133,Maeusefalle,mXz@f&l@,N,v.,2.0
24134,Maeusegift,mXz@gIft,N,o.,3.0
24135,Mauseloch,mBz@lOx,N,o.,3.0
24136,Maeuseloch,mXz@lOx,N,o.,3.0
24137,Maeuseplage,mXz@plag@,N,v.,2.0
24138,mausern,mBz@rn,V,,
24139,Mauser,mBz@r,N,m.,1.0
24140,Mauser,mBz@r,N,v.,2.0
24141,Mauserung,mBz@rUN,N,v.,2.0
24142,mausgrau,mBsgrB,A,,
24143,mausig,mBzIx,A,,
24144,Maeuslein,mXslWn,N,o.,3.0
24145,Mausoleum,mBzoleUm,N,o.,3.0
24146,mauve,mov,A,,
24147,mauvefarben,movf&rb@n,A,,
24148,mauzen,mB=@n,V,,
24149,maxi,m&ksi,A,,
24150,maximal,m&ksimal,A,,
24151,Maximalwert,m&ksimalvert,N,m.,1.0
24152,Maxime,m&ksim@,N,v.,2.0
24153,maximieren,m&ksimir@n,V,,
24154,Maximierung,m&ksimirUN,N,v.,2.0
24155,Maximum,m&ksimUm,N,o.,3.0
24156,Mayonnaise,m&jOn)z@,N,v.,2.0
24157,Mazurka,m&zUrka,N,v.,2.0
24158,Mechanik,mexanIk,N,v.,2.0
24159,Mechaniker,mexanik@r,N,m.,1.0
24160,mechanisch,mexanIS,A,,
24161,mechanisieren,mex&nizir@n,V,,
24162,Mechanisierung,mex&nizirUN,N,v.,2.0
24163,Mechanismus,mex&nIsmUs,N,m.,1.0
24164,meckern,mEk@rn,V,,
24165,Meckerer,mEk@r@r,N,m.,1.0
24166,Medaille,med&lj@,N,v.,2.0
24167,Medailleur,med&lj|r,N,m.,1.0
24168,Medaillon,med&lj~,N,o.,3.0
24169,Media,media,N,v.,2.0
24170,Mediation,medi&=ion,N,v.,2.0
24171,Medikament,medik&mEnt,N,o.,3.0
24172,Medikation,medik&=ion,N,v.,2.0
24173,Medikus,medikUs,N,m.,1.0
24174,medioker,mediok@r,A,,
24175,Meditation,medit&=ion,N,v.,2.0
24176,meditativ,medit&tif,A,,
24177,mediterran,meditEran,A,,
24178,meditieren,meditir@n,V,,
24179,Medium,mediUm,N,o.,3.0
24180,Medizin,medi=in,N,v.,2.0
24181,medizinal,medi=inal,A,,
24182,Medizinalrat,medi=inalrat,N,m.,1.0
24183,Medizinball,medi=inb&l,N,m.,1.0
24184,Mediziner,medi=in@r,N,m.,1.0
24185,medizinisch,medi=inIS,A,,
24186,Medizinmann,medi=inm&n,N,m.,1.0
24187,Medusenblick,meduz@nblIk,N,m.,1.0
24188,Medusenhaupt,meduz@nhBpt,N,o.,3.0
24189,Meer,mer,N,o.,3.0
24190,Meerbusen,merbuz@n,N,m.,1.0
24191,Meeresalge,mer@s&lg@,N,v.,2.0
24192,Meeresboden,mer@sbod@n,N,m.,1.0
24193,Meeresgrund,mer@sgrUnt,N,m.,1.0
24194,Meereskunde,mer@skUnd@,N,v.,2.0
24195,Meeresspiegel,mer@sSpig@l,N,m.,1.0
24196,Meeresstille,mer@sStIl@,N,v.,2.0
24197,Meeresstrand,mer@sStr&nt,N,m.,1.0
24198,Meeresstrasse,mer@sStras@,N,v.,2.0
24199,Meeresstroemung,mer@sStr|mUN,N,v.,2.0
24200,Meerestiefe,mer@stif@,N,v.,2.0
24201,Meeresufer,mer@suf@r,N,o.,3.0
24202,Meergott,mergOt,N,m.,1.0
24203,meergruen,mergryn,A,,
24204,Meerjungfrau,merjUNfrB,N,v.,2.0
24205,Meerkatze,merk&=@,N,v.,2.0
24206,Meerrettich,merrEtIx,N,m.,1.0
24207,Meersalz,merz&l=,N,o.,3.0
24208,Meerschaum,merSBm,N,m.,1.0
24209,Meerschweinchen,merSvWnx@n,N,o.,3.0
24210,meerumschlungen,merUmSlUN@n,A,,
24211,Meerwasser,merv&s@r,N,o.,3.0
24212,Meeting,mitIN,N,o.,3.0
24213,Megahertz,meg&hEr=,N,o.,3.0
24214,Megalomanie,meg&lom&ni,N,v.,2.0
24215,Megaphon,meg&fon,N,o.,3.0
24216,Megatonne,meg&tOn@,N,v.,2.0
24217,Megawatt,meg&v&t,N,o.,3.0
24218,Mehl,mel,N,o.,3.0
24219,mehlartig,melartIx,A,,
24220,Mehlbrei,melbrW,N,m.,1.0
24221,mehlig,melIx,A,,
24222,Mehlkleister,melklWst@r,N,m.,1.0
24223,Mehlsack,melz&k,N,m.,1.0
24224,Mehlspeise,melSpWz@,N,v.,2.0
24225,Mehlwurm,melvUrm,N,m.,1.0
24226,mehr,mer,ADV,,
24227,mehren,mer@n,V,,
24228,Mehr,mer,N,o.,3.0
24229,Mehrarbeit,mer&rbWt,N,v.,2.0
24230,Mehrausgabe,merBsgab@,N,v.,2.0
24231,Mehrbedarf,merb@d&rf,N,m.,1.0
24232,Mehrbelastung,merb@l&stUN,N,v.,2.0
24233,mehrdeutig,merdXtIx,A,,
24234,Mehrdeutigkeit,merdXtIxkWt,N,v.,2.0
24235,mehrdimensional,merdimEnzional,A,,
24236,Mehreinnahme,merWnnam@,N,v.,2.0
24237,mehrere,mer@r@,PRON,,
24238,mehrerlei,mer@rlW,NUM,,
24239,Mehrertrag,merErtrak,N,m.,1.0
24240,mehrfach,merf&x,A,,
24241,Mehrfamilienhaus,merf&mili@nhBs,N,o.,3.0
24242,mehrfaerbig,merf&rbIx,A,,
24243,mehrfarbig,merf&rbIx,A,,
24244,mehrgliedrig,merglidrIx,A,,
24245,Mehrheit,merhWt,N,v.,2.0
24246,mehrheitlich,merhWtlIx,A,,
24247,Mehrheitswahlrecht,merhW=valrExt,N,o.,3.0
24248,mehrjaehrig,merj)rIx,A,,
24249,Mehrleistung,merlWstUN,N,v.,2.0
24250,mehrmalig,mermalIx,A,,
24251,mehrmals,mermals,ADV,,
24252,mehrsilbig,merzIlbIx,A,,
24253,mehrsprachig,merSpraxIx,A,,
24254,mehrstimmig,merStImIx,A,,
24255,mehrstoeckig,merSt/kIx,A,,
24256,Mehrstufenrakete,merStuf@nr&ket@,N,v.,2.0
24257,mehrstufig,merStufIx,A,,
24258,mehrstuendig,merStYndIx,A,,
24259,mehrtaegig,mert)gIx,A,,
24260,Mehrung,merUN,N,v.,2.0
24261,Mehrvoelkerstaat,merf/lk@rStat,N,m.,1.0
24262,Mehrwert,mervert,N,m.,1.0
24263,Mehrwertsteuer,mervertStX@r,N,v.,2.0
24264,Mehrzahl,mer=al,N,v.,2.0
24265,mehrzahlig,mer=alIx,A,,
24266,Mehrzweckgeraet,mer=vEkg@r)t,N,o.,3.0
24267,meiden,mWd@n,V,,
24268,Meier,mW@r,N,m.,1.0
24269,Meierei,mW@rW,N,v.,2.0
24270,Meierhof,mW@rhof,N,m.,1.0
24271,Meierin,mW@rIn,N,v.,2.0
24272,Meile,mWl@,N,v.,2.0
24273,meilenlang,mWl@nl&N,A,,
24274,Meilenstein,mWl@nStWn,N,m.,1.0
24275,Meilenstiefel,mWl@nStif@l,N,m.,1.0
24276,meilenweise,mWl@nvWz@,ADV,,
24277,meilenweit,mWl@nvWt,A,,
24278,Meiler,mWl@r,N,m.,1.0
24279,meinen,mWn@n,V,,
24280,mein,mWn,PRON,,
24281,meine,mWn@,PRON,,
24282,Meineid,mWnWt,N,m.,1.0
24283,meineidig,mWnWdIx,A,,
24284,meinerseits,mWn@rzW=,ADV,,
24285,meinesgleichen,mWn@sglWx@n,PRON,,
24286,meinesteils,mWn@stWls,ADV,,
24287,meinethalben,mWn@th&lb@n,ADV,,
24288,meinetwegen,mWn@tveg@n,ADV,,
24289,meinetwillen,mWn@tvIl@n,ADV,,
24290,meinige,mWnIg@,PRON,,
24291,Meintat,mWntat,N,v.,2.0
24292,Meinung,mWnUN,N,v.,2.0
24293,Meinungsaeusserung,mWnUNsXs@rUN,N,v.,2.0
24294,Meinungsaustausch,mWnUNsBstBS,N,m.,1.0
24295,Meinungsbildung,mWnUNsbIldUN,N,v.,2.0
24296,Meinungsfreiheit,mWnUNsfrWhWt,N,v.,2.0
24297,Meinungsstreit,mWnUNsStrWt,N,m.,1.0
24298,Meinungsumfrage,mWnUNsUmfrag@,N,v.,2.0
24299,Meinungsverschiedenheit,mWnUNsfErSid@nhWt,N,v.,2.0
24300,Meise,mWz@,N,v.,2.0
24301,meisseln,mWs@ln,V,,
24302,Meissel,mWs@l,N,m.,1.0
24303,Meisseler,mWs@l@r,N,m.,1.0
24304,Meissler,mWsl@r,N,m.,1.0
24305,meist,mWst,ADV,,
24306,meistbeguenstigt,mWstb@gYnstIxt,A,,
24307,meistbeteiligt,mWstb@tWlIxt,A,,
24308,Meistbietende,mWstbit@nd@,N,v.,21.0
24309,meistenorts,mWst@nOr=,ADV,,
24310,meistens,mWst@ns,ADV,,
24311,meistenteils,mWst@ntWls,ADV,,
24312,meistern,mWst@rn,V,,
24313,Meister,mWst@r,N,m.,1.0
24314,Meisterbrief,mWst@rbrif,N,m.,1.0
24315,meisterhaft,mWst@rh&ft,A,,
24316,meisterlich,mWst@rlIx,A,,
24317,meisterlos,mWst@rlos,A,,
24318,Meisterpruefung,mWst@rpryfUN,N,v.,2.0
24319,Meistersaenger,mWst@rzEN@r,N,m.,1.0
24320,Meisterschaft,mWst@rS&ft,N,v.,2.0
24321,Meistertitel,mWst@rtit@l,N,m.,1.0
24322,Meisterung,mWst@rUN,N,v.,2.0
24323,Meisterwerk,mWst@rvErk,N,o.,3.0
24324,Meisterwuerde,mWst@rvYrd@,N,v.,2.0
24325,Meistgebot,mWstg@bot,N,o.,3.0
24326,meistgebraeuchlich,mWstg@brXxlIx,A,,
24327,meistgefragt,mWstg@frakt,A,,
24328,meistgekauft,mWstg@kBft,A,,
24329,meistgelesen,mWstg@lez@n,A,,
24330,meistgenannt,mWstg@n&nt,A,,
24331,Meiststufe,mWstStuf@,N,v.,2.0
24332,mekanisieren,mek&nizir@n,V,,
24333,Melancholie,mel&Nkoli,N,v.,2.0
24334,Melancholiker,mel&Nkolik@r,N,m.,1.0
24335,melancholisch,mel&NkolIS,A,,
24336,Melange,melqZ@,N,v.,2.0
24337,Melasse,mel&s@,N,v.,2.0
24338,melden,mEld@n,V,,
24339,Melde,mEld@,N,v.,2.0
24340,Meldeamt,mEld@&mt,N,o.,3.0
24341,meldepflichtig,mEld@+lIxtIx,A,,
24342,Melder,mEld@r,N,m.,1.0
24343,Meldestelle,mEld@StEl@,N,v.,2.0
24344,Meldung,mEldUN,N,v.,2.0
24345,melieren,melir@n,V,,
24346,meliert,melirt,A,,
24347,Melioration,melior&=ion,N,v.,2.0
24348,meliorieren,meliorir@n,V,,
24349,Melis,melIs,N,m.,1.0
24350,Melisma,melIsma,N,o.,3.0
24351,Melismatik,melIsmatIk,N,v.,2.0
24352,melismatisch,melIsmatIS,A,,
24353,Melissengeist,melIs@ngWst,N,m.,1.0
24354,melken,mElk@n,V,,
24355,Melkeimer,mElkWm@r,N,m.,1.0
24356,Melker,mElk@r,N,m.,1.0
24357,Melkerei,mElk@rW,N,v.,2.0
24358,Melkerin,mElk@rIn,N,v.,2.0
24359,Melkmaschine,mElkm&Sin@,N,v.,2.0
24360,Melkschemel,mElkSem@l,N,m.,1.0
24361,Melodie,melodi,N,v.,2.0
24362,Melodik,melodIk,N,v.,2.0
24363,melodioes,melodi|s,A,,
24364,melodisch,melodIS,A,,
24365,Melodram,melodram,N,o.,3.0
24366,Melodrama,melodrama,N,o.,3.0
24367,melodramatisch,melodramatIS,A,,
24368,Melone,melon@,N,v.,2.0
24369,melonenartig,melon@nartIx,A,,
24370,Meltau,meltB,N,m.,1.0
24371,Membran,mEmbran,N,v.,2.0
24372,Membrane,mEmbran@,N,v.,2.0
24373,Memento,memEnto,N,o.,3.0
24374,Memme,mEm@,N,v.,2.0
24375,memmenhaft,mEm@nh&ft,A,,
24376,Memoire,memoar@,N,o.,3.0
24377,Memorandum,memor&ndUm,N,o.,3.0
24378,Memorial,memorial,N,o.,3.0
24379,memorieren,memorir@n,V,,
24380,Memorierstoff,memorirStOf,N,m.,1.0
24381,Menage,menaZ@,N,v.,2.0
24382,Menagerie,men&Z@ri,N,v.,2.0
24383,menagieren,menaZir@n,V,,
24384,Menarche,men&rx@,N,v.,2.0
24385,mendeln,mEnd@ln,V,,
24386,Mendelismus,mEnd@lIsmUs,N,m.,1.0
24387,Mendikant,mEndik&nt,N,m.,1.0
24388,Mendikantenorden,mEndik&nt@nOrd@n,N,m.,1.0
24389,Menetekel,menetek@l,N,o.,3.0
24390,mengen,mEN@n,V,,
24391,Menge,mEN@,N,v.,2.0
24392,Mengenlehre,mEN@nler@,N,v.,2.0
24393,mengenmaessig,mEN@nm)sIx,A,,
24394,Mengenpreis,mEN@nprWs,N,m.,1.0
24395,Mengenrabatt,mEN@nr&b&t,N,m.,1.0
24396,Menhir,mEnhIr,N,m.,1.0
24397,Meningitis,menINgitIs,N,v.,2.0
24398,Meniskus,menIskUs,N,m.,1.0
24399,Meniskusriss,menIskUsrIs,N,m.,1.0
24400,Mennonit,mEnonit,N,m.,1.0
24401,Menopause,menopBz@,N,v.,2.0
24402,Menorrhoe,menOr|,N,v.,2.0
24403,menorrhoeisch,menOr|IS,A,,
24404,Menostase,menostaz@,N,v.,2.0
24405,Mensa,mEnza,N,v.,2.0
24406,Mensch,mEnS,N,m.,1.0
24407,Menschenaffe,mEnS@n&f@,N,m.,1.0
24408,Menschenalter,mEnS@n<@r,N,o.,3.0
24409,menschenarm,mEnS@n&rm,A,,
24410,Menschenfeind,mEnS@nfWnt,N,m.,1.0
24411,Menschenfleisch,mEnS@nflWS,N,o.,3.0
24412,Menschenfresser,mEnS@nfrEs@r,N,m.,1.0
24413,Menschenfreund,mEnS@nfrXnt,N,m.,1.0
24414,menschenfreundlich,mEnS@nfrXntlIx,A,,
24415,Menschenfuehrung,mEnS@nfyrUN,N,v.,2.0
24416,Menschengeist,mEnS@ngWst,N,m.,1.0
24417,Menschengeschlecht,mEnS@ng@SlExt,N,o.,3.0
24418,Menschengewuehl,mEnS@ng@vyl,N,o.,3.0
24419,Menschenhand,mEnS@nh&nt,N,v.,2.0
24420,Menschenhandel,mEnS@nh&nd@l,N,m.,1.0
24421,Menschenherz,mEnS@nhEr=,N,o.,3.0
24422,Menschenhirn,mEnS@nhIrn,N,o.,3.0
24423,Menschenkenner,mEnS@nkEn@r,N,m.,1.0
24424,Menschenkenntnis,mEnS@nkEntnIs,N,v.,2.0
24425,Menschenkind,mEnS@nkInt,N,o.,3.0
24426,Menschenkunde,mEnS@nkUnd@,N,v.,2.0
24427,Menschenleben,mEnS@nleb@n,N,o.,3.0
24428,menschenleer,mEnS@nler,A,,
24429,Menschenliebe,mEnS@nlib@,N,v.,2.0
24430,Menschenmasse,mEnS@nm&s@,N,v.,2.0
24431,Menschenmenge,mEnS@nmEN@,N,v.,2.0
24432,Menschenopfer,mEnS@nO+@r,N,o.,3.0
24433,Menschenrasse,mEnS@nr&s@,N,v.,2.0
24434,Menschenraub,mEnS@nrBp,N,m.,1.0
24435,Menschenrecht,mEnS@nrExt,N,o.,3.0
24436,menschenscheu,mEnS@nSX,A,,
24437,Menschenscheu,mEnS@nSX,N,v.,2.0
24438,Menschenskind,mEnS@nskInt,N,o.,3.0
24439,Menschentum,mEnS@ntum,N,o.,3.0
24440,menschenunwuerdig,mEnS@nUnvYrdIx,A,,
24441,menschenverachtend,mEnS@nfEr&xt@nt,A,,
24442,Menschenverachtung,mEnS@nfEr&xtUN,N,v.,2.0
24443,Menschenwerk,mEnS@nvErk,N,o.,3.0
24444,Menschenwuerde,mEnS@nvYrd@,N,v.,2.0
24445,menschenwuerdig,mEnS@nvYrdIx,A,,
24446,Menschewik,mEnSevIk,N,m.,1.0
24447,Menschewismus,mEnSevIsmUs,N,m.,1.0
24448,Menschheit,mEnShWt,N,v.,2.0
24449,menschheitlich,mEnShWtlIx,A,,
24450,menschlich,mEnSlIx,A,,
24451,Menschlichkeit,mEnSlIxkWt,N,v.,2.0
24452,Menschwerdung,mEnSverdUN,N,v.,2.0
24453,menstrual,mEnstrual,A,,
24454,Menstruation,mEnstru&=ion,N,v.,2.0
24455,menstruieren,mEnstruir@n,V,,
24456,Mensur,mEnzur,N,v.,2.0
24457,mensurabel,mEnzurab@l,A,,
24458,Mensurabilitaet,mEnzur&bilit)t,N,v.,2.0
24459,mental,mEntal,A,,
24460,Mentalitaet,mEntalit)t,N,v.,2.0
24461,Menthol,mEntol,N,o.,3.0
24462,Mentor,mEntOr,N,m.,1.0
24463,Menue,meny,N,o.,3.0
24464,Menuett,menuEt,N,o.,3.0
24465,Mephisto,mefIsto,N,m.,1.0
24466,mergeln,mErg@ln,V,,
24467,Meridian,meridian,N,m.,1.0
24468,merken,mErk@n,V,,
24469,Merk,mErk,N,o.,3.0
24470,merkantil,mErk&ntil,A,,
24471,Merkantilismus,mErk&ntilIsmUs,N,m.,1.0
24472,Merkantilist,mErk&ntilIst,N,m.,1.0
24473,merkbar,mErkbar,A,,
24474,merklich,mErklIx,A,,
24475,Merkmal,mErkmal,N,o.,3.0
24476,Merkspruch,mErkSprUx,N,m.,1.0
24477,Merkur,mErkur,N,m.,13.0
24478,Merkwort,mErkvOrt,N,o.,3.0
24479,merkwuerdig,mErkvYrdIx,A,,
24480,merkwuerdigerweise,mErkvYrdIg@rvWz@,ADV,,
24481,Merkwuerdigkeit,mErkvYrdIxkWt,N,v.,2.0
24482,Merle,mErl@,N,v.,2.0
24483,Mesalliance,mez&liqs,N,v.,2.0
24484,meschant,mex&nt,A,,
24485,Meskalin,mEsk&lin,N,o.,3.0
24486,Mesmerismus,mEsm@rIsmUs,N,m.,1.0
24487,Mesoderm,mezodErm,N,o.,3.0
24488,messen,mEs@n,V,,
24489,Messband,mEsb&nt,N,o.,3.0
24490,messbar,mEsbar,A,,
24491,Messbarkeit,mEsbarkWt,N,v.,2.0
24492,Messbereich,mEsb@rWx,N,m.,1.0
24493,Messbrief,mEsbrif,N,m.,1.0
24494,Messdatum,mEsdatUm,N,o.,3.0
24495,Messe,mEs@,N,v.,2.0
24496,Messeamt,mEs@&mt,N,o.,3.0
24497,Messebesucher,mEs@b@zux@r,N,m.,1.0
24498,Messegelaende,mEs@g@lEnd@,N,o.,3.0
24499,Messehalle,mEs@h&l@,N,v.,2.0
24500,Messelesen,mEs@lez@n,N,o.,3.0
24501,Messer,mEs@r,N,m.,1.0
24502,Messer,mEs@r,N,o.,3.0
24503,Messergebnis,mEsErgepnIs,N,o.,3.0
24504,messerscharf,mEs@rS&rf,A,,
24505,Messerschmied,mEs@rSmit,N,m.,1.0
24506,Messerspitze,mEs@rSpI=@,N,v.,2.0
24507,Messerstecherei,mEs@rStEx@rW,N,v.,2.0
24508,Messerstich,mEs@rStIx,N,m.,1.0
24509,Messgeraet,mEsg@r)t,N,o.,3.0
24510,Messglas,mEsglas,N,o.,3.0
24511,messianisch,mEsianIS,A,,
24512,Messias,mEsi&s,N,m.,1.0
24513,Messing,mEsIN,N,o.,3.0
24514,Messingleuchter,mEsINlXxt@r,N,m.,1.0
24515,Messingschild,mEsINSIlt,N,o.,3.0
24516,Messinstrument,mEsInstrumEnt,N,o.,3.0
24517,Messmittel,mEsmIt@l,N,o.,3.0
24518,Messschnur,mEsSnur,N,v.,2.0
24519,Messstab,mEsStap,N,m.,1.0
24520,Messstelle,mEsStEl@,N,v.,2.0
24521,Messtechnik,mEstExnIk,N,v.,2.0
24522,Messung,mEsUN,N,v.,2.0
24523,Messwert,mEsvert,N,m.,1.0
24524,Messzylinder,mEs=ylInd@r,N,m.,1.0
24525,Mestize,mEsti=@,N,m.,1.0
24526,metabol,met&bol,A,,
24527,Metakritik,met&kritik,N,v.,2.0
24528,Metall,met&l,N,o.,3.0
24529,Metallarbeiter,met&l&rbWt@r,N,m.,1.0
24530,Metallbearbeitung,met&lb@&rbWtUN,N,v.,2.0
24531,metallen,met&l@n,A,,
24532,Metaller,met&l@r,N,m.,1.0
24533,Metallgewerbe,met&lg@vErb@,N,o.,3.0
24534,Metallguss,met&lgUs,N,m.,1.0
24535,metallhaltig,met&lh<Ix,A,,
24536,metallic,met&lIk,A,,
24537,Metallindustrie,met&lIndUstri,N,v.,2.0
24538,metallisch,met&lIS,A,,
24539,metallisieren,met&lizir@n,V,,
24540,Metallkunde,met&lkUnd@,N,v.,2.0
24541,Metallographie,met&logr&fi,N,v.,2.0
24542,Metallurg,met&lUrk,N,m.,1.0
24543,Metallurge,met&lUrg@,N,m.,1.0
24544,Metallurgie,met&lUrgi,N,v.,2.0
24545,metallverarbeitend,met&lfEr&rbWt@nt,A,,
24546,metamorph,met&mOrf,A,,
24547,metamorphisch,met&mOrfIS,A,,
24548,Metamorphismus,met&mOrfIsmUs,N,m.,1.0
24549,Metamorphose,met&mOrfoz@,N,v.,2.0
24550,Metapher,met&f@r,N,v.,2.0
24551,Metaphorik,met&forIk,N,v.,2.0
24552,metaphorisch,met&forIS,A,,
24553,Metaphrase,met&fraz@,N,v.,2.0
24554,Metaphysik,met&fyzik,N,v.,2.0
24555,Metaphysiker,met&fyzik@r,N,m.,1.0
24556,metaphysisch,met&fyzIS,A,,
24557,metapsychisch,met&psyxIS,A,,
24558,Metasprache,metaSprax@,N,v.,2.0
24559,metasprachlich,met&SpraxlIx,A,,
24560,Metastase,met&staz@,N,v.,2.0
24561,metastatisch,met&statIS,A,,
24562,Metathese,met&tez@,N,v.,2.0
24563,Metathesis,met&tezIs,N,v.,2.0
24564,Metazentrum,met&=EntrUm,N,o.,3.0
24565,Meteor,meteor,N,m.,1.0
24566,meteorisch,meteorIS,A,,
24567,Meteorit,meteorit,N,m.,1.0
24568,Meteorologe,meteorolog@,N,m.,1.0
24569,Meteorologie,meteorologi,N,v.,2.0
24570,meteorologisch,meteorologIS,A,,
24571,Meteorstein,meteorStWn,N,m.,1.0
24572,Meter,met@r,N,m.,13.0
24573,meterdick,met@rdIk,A,,
24574,meterhoch,met@rhox,A,,
24575,meterlang,met@rl&N,A,,
24576,Meterlatte,met@rl&t@,N,v.,2.0
24577,Metermass,met@rmas,N,o.,3.0
24578,meterweise,met@rvWz@,ADV,,
24579,meterweit,met@rvWt,A,,
24580,Methan,metan,N,o.,3.0
24581,Methangas,metangas,N,o.,3.0
24582,Methanol,met&nol,N,o.,3.0
24583,Methode,metod@,N,v.,2.0
24584,Methodenlehre,metod@nler@,N,v.,2.0
24585,Methodik,metodIk,N,v.,2.0
24586,Methodiker,metodik@r,N,m.,1.0
24587,methodisch,metodIS,A,,
24588,Methodist,metodIst,N,m.,1.0
24589,methodistisch,metodIstIS,A,,
24590,Methodologie,metodologi,N,v.,2.0
24591,methodologisch,metodologIS,A,,
24592,Methyl,metyl,N,o.,3.0
24593,Methylalkohol,metyl&lkohol,N,m.,1.0
24594,Metier,metie,N,o.,3.0
24595,Metol,metol,N,o.,3.0
24596,Metope,metop@,N,v.,2.0
24597,Metrik,metrIk,N,v.,2.0
24598,metrisch,metrIS,A,,
24599,Metro,metro,N,v.,2.0
24600,Metrologie,metrologi,N,v.,2.0
24601,metrologisch,metrologIS,A,,
24602,Metronom,metronom,N,o.,3.0
24603,Metropole,metropol@,N,v.,2.0
24604,Metropolis,metropolIs,N,v.,2.0
24605,Metropolit,metropolit,N,m.,1.0
24606,Mett,mEt,N,o.,3.0
24607,Mettwurst,mEtvUrst,N,v.,2.0
24608,metzen,mE=@n,V,,
24609,metzeln,mE=@ln,V,,
24610,Metzelei,mE=@lW,N,v.,2.0
24611,Metzger,mE=g@r,N,m.,1.0
24612,Metzgerei,mE=g@rW,N,v.,2.0
24613,Metzler,mE=l@r,N,m.,1.0
24614,Meublement,m|bl@mq,N,o.,3.0
24615,meucheln,mXx@ln,V,,
24616,Meuchelmord,mXx@lmOrt,N,m.,1.0
24617,Meuchelmoerder,mXx@lm/rd@r,N,m.,1.0
24618,Meuchler,mXxl@r,N,m.,1.0
24619,meuchlerisch,mXxl@rIS,A,,
24620,Meute,mXt@,N,v.,2.0
24621,meutern,mXt@rn,V,,
24622,Meuterei,mXt@rW,N,v.,2.0
24623,Meuterer,mXt@r@r,N,m.,1.0
24624,Mexikaner,mEksikan@r,N,m.,1.0
24625,mexikanisch,mEksikanIS,A,,
24626,mezzoforte,mE=ofOrt@,ADV,,
24627,mezzopiano,mE=opiano,ADV,,
24628,Mezzosopran,mE=ozopran,N,m.,1.0
24629,Miasma,mi&sma,N,o.,3.0
24630,mich,mIx,PRON,,
24631,mickerig,mIk@rIx,A,,
24632,mickrig,mIkrIx,A,,
24633,midi,midi,A,,
24634,miefen,mif@n,V,,
24635,Mief,mif,N,m.,1.0
24636,miefig,mifIx,A,,
24637,Miene,min@,N,v.,2.0
24638,Mienenspiel,min@nSpil,N,o.,3.0
24639,mies,mis,A,,
24640,Miesepeter,miz@pet@r,N,m.,1.0
24641,Miesmacher,mism&x@r,N,m.,1.0
24642,mieten,mit@n,V,,
24643,Mietauto,mitBto,N,o.,3.0
24644,Miete,mit@,N,v.,2.0
24645,Mietenregelung,mit@nreg@lUN,N,v.,2.0
24646,Mieter,mit@r,N,m.,1.0
24647,Mieterhoehung,mitErh|UN,N,v.,2.0
24648,Mieterin,mit@rIn,N,v.,2.0
24649,Mieterschutz,mit@rSU=,N,m.,1.0
24650,mietfrei,mitfrW,A,,
24651,Mietgesetz,mitg@zE=,N,o.,3.0
24652,Mietpreis,mitprWs,N,m.,1.0
24653,Mietrecht,mitrExt,N,o.,3.0
24654,Mietshaus,mi=hBs,N,o.,3.0
24655,Mietvertrag,mitfErtrak,N,m.,1.0
24656,Mietwagen,mitvag@n,N,m.,1.0
24657,Mietwohnung,mitvonUN,N,v.,2.0
24658,Mietzins,mit=Ins,N,m.,1.0
24659,Migraene,migr)n@,N,v.,2.0
24660,Migration,migr&=ion,N,v.,2.0
24661,Mikado,mikado,N,o.,3.0
24662,Mikado,mikado,N,m.,1.0
24663,Mikrobe,mikrob@,N,v.,2.0
24664,Mikrobiologie,mikrobiologi,N,v.,2.0
24665,Mikrofilm,mikrofIlm,N,m.,1.0
24666,Mikrofon,mikrofon,N,o.,3.0
24667,Mikrokosmos,mikrokOsmOs,N,m.,1.0
24668,Mikrometer,mikromet@r,N,m.,13.0
24669,Mikrophon,mikrofon,N,o.,3.0
24670,Mikrophysik,mikrofyzik,N,v.,2.0
24671,Mikroskop,mikroskop,N,o.,3.0
24672,mikroskopieren,mikroskopir@n,V,,
24673,mikroskopisch,mikroskopIS,A,,
24674,Mikrowelle,mikrovEl@,N,v.,2.0
24675,milchen,mIlx@n,V,,
24676,Milch,mIlx,N,v.,2.0
24677,Milchbar,mIlxbar,N,v.,2.0
24678,Milchbart,mIlxbart,N,m.,1.0
24679,Milchbrei,mIlxbrW,N,m.,1.0
24680,Milchbroetchen,mIlxbr|tx@n,N,o.,3.0
24681,Milcher,mIlx@r,N,m.,1.0
24682,Milcherin,mIlx@rIn,N,v.,2.0
24683,Milchflasche,mIlxfl&S@,N,v.,2.0
24684,Milchglas,mIlxglas,N,o.,3.0
24685,milchig,mIlxIx,A,,
24686,Milchkanne,mIlxk&n@,N,v.,2.0
24687,Milchkuh,mIlxku,N,v.,2.0
24688,Milchmaedchen,mIlxm)tx@n,N,o.,3.0
24689,Milchmann,mIlxm&n,N,m.,1.0
24690,Milchpulver,mIlxpUlf@r,N,o.,3.0
24691,Milchpumpe,mIlxpUmp@,N,v.,2.0
